Tag Number,Tag ID,Public ID,Claim Token,Overlay QR URL,Base QR URL,Status
1,RL-001,AUS0001,6f4e3871fea79dec9065d89ed0df100853493c258a8831c0c815d24009cd86c8,https://app.ranchlink.com/start?token=6f4e3871fea79dec9065d89ed0df100853493c258a8831c0c815d24009cd86c8,https://app.ranchlink.com/a?id=AUS0001,printed
2,RL-002,AUS0002,1ea391145defeccd8b253ff4fb717ad841b7aee89422b07b98fe42277397bf4b,https://app.ranchlink.com/start?token=1ea391145defeccd8b253ff4fb717ad841b7aee89422b07b98fe42277397bf4b,https://app.ranchlink.com/a?id=AUS0002,printed
3,RL-003,AUS0003,40ed18dbe31f1b78bf62df9001fadfb3fa9a3a13c91296f021b4f684ffbab57e,https://app.ranchlink.com/start?token=40ed18dbe31f1b78bf62df9001fadfb3fa9a3a13c91296f021b4f684ffbab57e,https://app.ranchlink.com/a?id=AUS0003,printed
4,RL-004,AUS0004,8b0eb3a1b7d012956d0bfc636a56acf00628712f715c049f0dd7f529911c279c,https://app.ranchlink.com/start?token=8b0eb3a1b7d012956d0bfc636a56acf00628712f715c049f0dd7f529911c279c,https://app.ranchlink.com/a?id=AUS0004,printed
5,RL-005,AUS0005,c11f32d0df2e1ac192c3c29539dbe54ae27da52e5ea0c2ccfb62189ba104ddb2,https://app.ranchlink.com/start?token=c11f32d0df2e1ac192c3c29539dbe54ae27da52e5ea0c2ccfb62189ba104ddb2,https://app.ranchlink.com/a?id=AUS0005,printed
6,RL-006,AUS0006,c71ab186e9c0ca7edc1a8483195a46343db013d6f2b90b119a4ac1c959968d60,https://app.ranchlink.com/start?token=c71ab186e9c0ca7edc1a8483195a46343db013d6f2b90b119a4ac1c959968d60,https://app.ranchlink.com/a?id=AUS0006,printed
7,RL-007,AUS0007,99d717b231028a4e72183d07ec32764e0d949230de1db447a0be4504a0ca90c8,https://app.ranchlink.com/start?token=99d717b231028a4e72183d07ec32764e0d949230de1db447a0be4504a0ca90c8,https://app.ranchlink.com/a?id=AUS0007,printed
8,RL-008,AUS0008,db8de2825c7db9052f3988bbc7e264fe24f43cb4d3a4a32005a57abe97db8dde,https://app.ranchlink.com/start?token=db8de2825c7db9052f3988bbc7e264fe24f43cb4d3a4a32005a57abe97db8dde,https://app.ranchlink.com/a?id=AUS0008,printed
9,RL-009,AUS0009,c6a880286019c167cea5660a93a51974e205bbebea4912cbddd8d284198604b2,https://app.ranchlink.com/start?token=c6a880286019c167cea5660a93a51974e205bbebea4912cbddd8d284198604b2,https://app.ranchlink.com/a?id=AUS0009,printed
10,RL-010,AUS0010,553aa294bc8b042b9126cf84fb5fb9619cccde59682eb8b67ad67f6fdd2a9e45,https://app.ranchlink.com/start?token=553aa294bc8b042b9126cf84fb5fb9619cccde59682eb8b67ad67f6fdd2a9e45,https://app.ranchlink.com/a?id=AUS0010,printed
